run_name,run_type,model_name,eval_scope,n_samples,wer,cer,device,language,task,source_csv,created_at,notes
whisper-small-baseline-initial,baseline,openai/whisper-small,test_head_20,20,1.391489,0.879585,cuda:0,arabic,transcribe,dataset/metadata_test.csv,2026-04-27T20:42:20.926596+01:00,Raw Whisper Small baseline before fine-tuning.
whisper-small-baseline-normalized-v1,baseline,openai/whisper-small,test_head_20,20,1.382979,0.873206,cuda:0,arabic,transcribe,dataset/metadata_test.csv,2026-04-27T22:39:53.406016+01:00,Baseline recomputed after Phase 01 normalization policy v1.
phase02-local-smoke-test,phase02_smoke_train,openai/whisper-small,valid_head_4,8,0.829268,0.410480,cuda:0,arabic,transcribe,/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_train.csv|/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_valid.csv,2026-04-27T23:34:39+01:00,tiny local validation | train_samples=8 | valid_samples=4 | precision=bf16 | best_checkpoint=/home/coworky/Study/Deeplearning/TUN_STT_MODEL/outputs/train_runs/phase02-local-smoke-test/checkpoint-1
phase02-local-smoke-test-v2,phase02_smoke_train,openai/whisper-small,valid_head_4,8,0.804878,0.410480,cuda:0,arabic,transcribe,/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_train.csv|/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_valid.csv,2026-04-27T23:35:37+01:00,tiny local validation with attention mask | train_samples=8 | valid_samples=4 | precision=bf16 | best_checkpoint=/home/coworky/Study/Deeplearning/TUN_STT_MODEL/outputs/train_runs/phase02-local-smoke-test-v2/checkpoint-1
whisper-small-phase03-full-20260428-001840,phase03_full_finetune,openai/whisper-small,valid_full,18648,0.435870,0.213782,cuda:0,arabic,transcribe,/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_train.csv|/home/coworky/Study/Deeplearning/TUN_STT_MODEL/dataset/metadata_valid.csv,2026-04-28T00:18:59+01:00,Phase 03 first full fine-tune on full normalized train/valid split | train_samples=0 | valid_samples=0 | precision=bf16 | best_checkpoint=/home/coworky/Study/Deeplearning/TUN_STT_MODEL/outputs/train_runs/whisper-small-phase03-full-20260428-001840/checkpoint-3000
whisper-small-phase03-full-20260428-001840-quick-eval,phase03_quick_eval,outputs/train_runs/whisper-small-phase03-full-20260428-001840,test_head_20,20,0.306383,0.124402,cuda:0,arabic,transcribe,dataset/metadata_test.csv,2026-04-28T09:30:40.506159+01:00,Phase 03 quick benchmark on test_head_20
whisper-small-phase03-full-20260428-001840-locked-test,phase03_full_eval,outputs/train_runs/whisper-small-phase03-full-20260428-001840,test_full,1036,0.489161,0.256869,cuda:0,arabic,transcribe,dataset/metadata_test.csv,2026-04-28T09:34:45.120959+01:00,Phase 03 locked full test evaluation
